Log created: 2026-01-12 04:38:38
Type: staging
[2026-01-12 04:41:25][notice]The count of copied files: 500
[2026-01-12 04:41:25][notice]The next copying files starts from:56000
[2026-01-12 04:41:26][notice]The count of copied files: 500
[2026-01-12 04:41:26][notice]The next copying files starts from:56500
[2026-01-12 04:41:27][notice]The count of copied files: 500
[2026-01-12 04:41:27][notice]The next copying files starts from:57000
[2026-01-12 04:41:28][notice]The count of copied files: 500
[2026-01-12 04:41:28][notice]The next copying files starts from:57500
[2026-01-12 04:41:29][notice]The count of copied files: 500
[2026-01-12 04:41:29][notice]The next copying files starts from:58000
[2026-01-12 04:41:30][notice]The count of copied files: 500
[2026-01-12 04:41:30][notice]The next copying files starts from:58500
[2026-01-12 04:41:32][notice]The count of copied files: 500
[2026-01-12 04:41:32][notice]The next copying files starts from:59000
[2026-01-12 04:41:33][notice]The count of copied files: 500
[2026-01-12 04:41:33][notice]The next copying files starts from:59500
[2026-01-12 04:41:34][notice]The count of copied files: 500
[2026-01-12 04:41:34][notice]The next copying files starts from:60000
[2026-01-12 04:41:35][notice]The count of copied files: 500
[2026-01-12 04:41:35][notice]The next copying files starts from:60500
[2026-01-12 04:41:36][notice]The count of copied files: 500
[2026-01-12 04:41:36][notice]The next copying files starts from:61000
[2026-01-12 04:41:37][notice]The count of copied files: 500
[2026-01-12 04:41:37][notice]The next copying files starts from:61500
[2026-01-12 04:41:38][notice]The count of copied files: 500
[2026-01-12 04:41:38][notice]The next copying files starts from:62000
[2026-01-12 04:41:40][notice]The count of copied files: 500
[2026-01-12 04:41:40][notice]The next copying files starts from:62500
[2026-01-12 04:41:41][notice]The count of copied files: 500
[2026-01-12 04:41:41][notice]The next copying files starts from:63000
[2026-01-12 04:41:42][notice]The count of copied files: 500
[2026-01-12 04:41:42][notice]The next copying files starts from:63500
[2026-01-12 04:41:43][notice]The count of copied files: 500
[2026-01-12 04:41:43][notice]The next copying files starts from:64000
[2026-01-12 04:41:44][notice]The count of copied files: 500
[2026-01-12 04:41:44][notice]The next copying files starts from:64500
[2026-01-12 04:41:46][notice]The count of copied files: 500
[2026-01-12 04:41:46][notice]The next copying files starts from:65000
[2026-01-12 04:41:47][notice]The count of copied files: 500
[2026-01-12 04:41:47][notice]The next copying files starts from:65500
[2026-01-12 04:41:48][notice]The count of copied files: 500
[2026-01-12 04:41:48][notice]The next copying files starts from:66000
